本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 13/40 盘：卡罗康式，白方 v4，黑方 material =====
72. v4：Ne6+ | 深度 5 | 1.25 秒
72... material：Kc4 | 深度 5 | 0.84 秒
73. v4：Nc7 | 深度 5 | 1.31 秒
73... material：Ra2 | 深度 5 | 1.21 秒
74. v4：Ne6 | 深度 5 | 1.86 秒
74... material：Ra1 | 深度 5 | 1.89 秒
75. v4：Kb6 | 深度 5 | 2.87 秒
75... material：Kd3 | 深度 5 | 1.91 秒
76. v4：Kc6 | 深度 5 | 2.16 秒
76... material：Kc4 | 深度 5 | 2.69 秒
77. v4：Kb6 | 深度 5 | 2.85 秒
77... material：Kd3 | 深度 5 | 2.04 秒
78. v4：Kc6 | 深度 5 | 2.18 秒
78... material：Kc2 | 深度 5 | 2.63 秒
79. v4：Kb6 | 深度 5 | 3.76 秒
79... material：Kb3 | 深度 5 | 2.27 秒
80. v4：Nc5+ | 深度 5 | 1.88 秒
80... material：Ka3 | 深度 5 | 0.86 秒
81. v4：Ne4 | 深度 5 | 1.93 秒
81... material：Ka4 | 深度 5 | 1.79 秒
82. v4：Nd6 | 深度 5 | 1.75 秒
82... material：Ra3 | 深度 5 | 1.46 秒
83. v4：Nf5 | 深度 5 | 1.49 秒
83... material：Rb3+ | 深度 5 | 0.77 秒
84. v4：Ka7 | 深度 5 | 0.55 秒
84... material：Rh3 | 深度 5 | 0.77 秒
85. v4：Kb6 | 深度 5 | 1.98 秒
85... material：Ka3 | 深度 5 | 1.46 秒
86. v4：Nd6 | 深度 5 | 2.32 秒
86... material：Ka4 | 深度 5 | 1.92 秒
87. v4：Kc5 | 深度 5 | 2.66 秒
87... material：Rh1 | 深度 5 | 1.52 秒
88. v4：Kb6 | 深度 5 | 1.89 秒
88... material：Rg1 | 深度 5 | 1.91 秒
89. v4：Nf5 | 深度 5 | 2.15 秒
89... material：Rh1 | 深度 5 | 1.81 秒
90. v4：Ng3 | 深度 5 | 2.41 秒
90... material：Rg1 | 深度 5 | 1.48 秒
91. v4：Nf5 | 深度 5 | 1.13 秒
91... material：Rh1 | 深度 5 | 1.80 秒
92. v4：Ng3 | 深度 5 | 2.19 秒
92... material：Rd1 | 深度 5 | 1.35 秒
93. v4：Nf5 | 深度 5 | 1.47 秒
