本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 27/40 盘：菲利多尔，白方 v4，黑方 material =====
43. material：d7 | 深度 5 | 1.17 秒
43... v4：Rxf4 | 深度 4 | 5.00 秒
44. material：Rxf4 | 深度 5 | 1.32 秒
44... v4：Nd2+ | 深度 5 | 1.88 秒
45. material：Kc2 | 深度 5 | 2.66 秒
45... v4：g5 | 深度 5 | 2.96 秒
46. material：Ra4 | 深度 5 | 4.33 秒
46... v4：Nf3 | 深度 5 | 2.79 秒
47. material：d8=Q | 深度 5 | 4.61 秒
47... v4：Ne1+ | 深度 4 | 5.00 秒
48. material：Kb3 | 深度 5 | 4.18 秒
48... v4：Nf3 | 深度 5 | 3.67 秒
49. material：Qd5 | 深度 4 | 5.00 秒
49... v4：Nh4 | 深度 4 | 5.00 秒
50. material：Qxg5+ | 深度 4 | 5.00 秒
50... v4：Ng6 | 深度 5 | 1.78 秒
51. material：Rxa7 | 深度 4 | 5.00 秒
51... v4：Kf8 | 深度 5 | 3.86 秒
52. material：h4 | 深度 4 | 5.00 秒
52... v4：Kg7 | 深度 5 | 2.08 秒
53. material：h5 | 深度 4 | 5.00 秒
53... v4：Kf8 | 深度 5 | 4.51 秒
54. material：hxg6 | 深度 4 | 5.00 秒
54... v4：f6 | 深度 5 | 1.09 秒
55. material：Qxf6+ | 深度 5 | 4.92 秒
55... v4：Ke8 | 深度 5 | 0.65 秒
56. material：Qe7# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_14.zip

===== 比赛结束 =====
v4获胜： 0
material获胜： 1
和棋： 1
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_14
