本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 3/40 盘：后翼弃兵发展，白方 v4，黑方 material =====
75... material：Rf1 | 深度 4 | 5.00 秒
76. v4：Kb3 | 深度 5 | 1.48 秒
76... material：Rh1 | 深度 5 | 4.93 秒
77. v4：Kc3 | 深度 5 | 1.83 秒
77... material：Bh4 | 深度 4 | 5.00 秒
78. v4：Kd4 | 深度 5 | 2.57 秒
78... material：Bd8 | 深度 5 | 4.92 秒
79. v4：Kc3 | 深度 5 | 2.15 秒
79... material：Kh2 | 深度 4 | 5.00 秒
80. v4：Kc4 | 深度 5 | 1.15 秒
80... material：Bc7 | 深度 5 | 3.43 秒
81. v4：Kd5 | 深度 5 | 1.72 秒
81... material：Kg2 | 深度 5 | 2.42 秒
82. v4：Ke4 | 深度 5 | 1.83 秒
82... material：Bh2 | 深度 4 | 5.00 秒
83. v4：Kf5 | 深度 5 | 1.95 秒
83... material：Kg3 | 深度 5 | 1.97 秒
84. v4：Ke5 | 深度 5 | 0.51 秒
84... material：Kg2+ | 深度 5 | 1.26 秒
85. v4：Kf5 | 深度 5 | 1.66 秒
85... material：Kg3 | 深度 5 | 2.03 秒
86. v4：Ke5 | 深度 5 | 0.50 秒
86... material：Kh4+ | 深度 5 | 1.22 秒
87. v4：Kf6 | 深度 5 | 0.66 秒
87... material：Rf1+ | 深度 5 | 1.27 秒
88. v4：Ke7 | 深度 5 | 1.14 秒
88... material：Bg3 | 深度 5 | 3.43 秒
