本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 33/40 盘：卡罗康推进，白方 v4，黑方 material =====
34. material：Qf3 | 深度 3 | 5.00 秒
34... v4：Nh4 | 深度 4 | 5.00 秒
35. material：Qg4 | 深度 4 | 5.00 秒
35... v4：Qa3 | 深度 3 | 5.00 秒
36. material：Bxg5 | 深度 3 | 5.00 秒
36... v4：Qxc1+ | 深度 4 | 5.00 秒
37. material：Bxc1 | 深度 5 | 0.73 秒
37... v4：Rxg4 | 深度 5 | 2.93 秒
38. material：hxg4 | 深度 5 | 4.17 秒
38... v4：Ng6 | 深度 5 | 3.93 秒
39. material：Bd2 | 深度 4 | 5.00 秒
39... v4：Rg8 | 深度 4 | 5.00 秒
40. material：Bh6 | 深度 4 | 5.00 秒
40... v4：Nh4 | 深度 4 | 5.00 秒
41. material：Rf2 | 深度 4 | 5.00 秒
41... v4：Rh8 | 深度 5 | 3.21 秒
42. material：Bg7 | 深度 5 | 3.50 秒
42... v4：Rxh5 | 深度 5 | 2.49 秒
43. material：gxh5 | 深度 5 | 1.52 秒
43... v4：Nf5 | 深度 5 | 1.12 秒
44. material：Bf8 | 深度 5 | 2.38 秒
44... v4：Ng3+ | 深度 5 | 2.94 秒
45. material：Kh2 | 深度 5 | 0.56 秒
45... v4：Ne4 | 深度 5 | 1.69 秒
46. material：Rxf7 | 深度 5 | 2.08 秒
46... v4：a6 | 深度 5 | 4.14 秒
47. material：Rf3 | 深度 5 | 4.02 秒
47... v4：Nb5 | 深度 5 | 2.06 秒
48. material：Bb4 | 深度 4 | 5.00 秒
48... v4：Kc7 | 深度 5 | 3.65 秒
49. material：h6 | 深度 4 | 5.00 秒
49... v4：Ng5 | 深度 5 | 2.13 秒
50. material：h7 | 深度 5 | 2.14 秒
50... v4：Nxh7 | 深度 5 | 1.14 秒
51. material：Rf7+ | 深度 5 | 2.75 秒
51... v4：Kb6 | 深度 5 | 1.51 秒
52. material：Rxh7 | 深度 5 | 3.48 秒
52... v4：a5 | 深度 5 | 0.55 秒
53. material：Bc5+ | 深度 5 | 1.83 秒
53... v4：Kc6 | 深度 5 | 1.11 秒
54. material：Rh6 | 深度 5 | 3.96 秒
54... v4：Kd7 | 深度 5 | 0.87 秒
55. material：Rh3 | 深度 5 | 3.89 秒
55... v4：a4 | 深度 5 | 1.50 秒
56. material：Rg3 | 深度 5 | 3.41 秒
56... v4：Ke8 | 深度 5 | 1.87 秒
57. material：Rh3 | 深度 5 | 2.73 秒
57... v4：Kf7 | 深度 5 | 1.60 秒
58. material：Rg3 | 深度 5 | 3.18 秒
58... v4：Nc7 | 深度 5 | 1.49 秒
59. material：Bd6 | 深度 5 | 1.44 秒
59... v4：Nb5 | 深度 5 | 0.71 秒
60. material：Bc5 | 深度 5 | 1.29 秒
60... v4：Nc7 | 深度 5 | 1.60 秒
61. material：Bd6 | 深度 5 | 1.46 秒
61... v4：Nb5 | 深度 5 | 0.80 秒
62. material：Bb8 | 深度 5 | 1.17 秒
62... v4：Ke8 | 深度 5 | 1.40 秒
63. material：Rh3 | 深度 5 | 1.96 秒
63... v4：Kf7 | 深度 5 | 1.78 秒
64. material：Rg3 | 深度 5 | 2.09 秒
64... v4：Ke8 | 深度 5 | 1.34 秒
65. material：Rh3 | 深度 5 | 1.86 秒
65... v4：Kf7 | 深度 5 | 1.53 秒
66. material：Rh7+ | 深度 5 | 1.70 秒
66... v4：Kg6 | 深度 5 | 0.63 秒
67. material：Re7 | 深度 5 | 1.00 秒
67... v4：Nxc3 | 深度 5 | 0.80 秒
68. material：Rxe6+ | 深度 5 | 0.95 秒
68... v4：Kf5 | 深度 5 | 1.04 秒
69. material：Re7 | 深度 5 | 0.79 秒
