本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 9/40 盘：西西里式，白方 v4，黑方 material =====
101... material：Ke8 | 深度 4 | 5.00 秒
102. v4：Kb2 | 深度 5 | 1.37 秒
102... material：Kd7 | 深度 5 | 2.74 秒
103. v4：Ng3 | 深度 5 | 2.17 秒
103... material：Ke8 | 深度 4 | 5.00 秒
104. v4：Nf5 | 深度 5 | 1.39 秒
104... material：Bf8 | 深度 5 | 1.56 秒
105. v4：Ne3 | 深度 5 | 1.40 秒
105... material：Rc7 | 深度 5 | 4.52 秒
106. v4：Nd5 | 深度 5 | 0.83 秒
106... material：Rb7 | 深度 5 | 1.93 秒
107. v4：Nf6+ | 深度 5 | 1.30 秒
107... material：Ke7 | 深度 5 | 0.64 秒
108. v4：Nd5+ | 深度 5 | 0.89 秒
108... material：Kd7 | 深度 5 | 1.50 秒
109. v4：Ne3 | 深度 5 | 2.48 秒
109... material：Kc7 | 深度 5 | 4.73 秒
110. v4：Kb3 | 深度 5 | 2.27 秒
110... material：Bd6 | 深度 5 | 4.20 秒
111. v4：Nc4 | 深度 5 | 2.34 秒
111... material：Bc5 | 深度 5 | 1.47 秒
112. v4：Kc2 | 深度 5 | 1.81 秒
112... material：Ra7 | 深度 5 | 4.33 秒
113. v4：Kb2 | 深度 5 | 1.20 秒
113... material：Rb7 | 深度 4 | 5.00 秒
114. v4：Kc2 | 深度 5 | 1.37 秒
114... material：Ra7 | 深度 5 | 4.50 秒
115. v4：Kb2 | 深度 5 | 1.28 秒
115... material：Kb7 | 深度 4 | 5.00 秒
116. v4：Nd2 | 深度 5 | 1.54 秒
116... material：Bd6 | 深度 5 | 4.45 秒
117. v4：Nc4 | 深度 5 | 1.25 秒
117... material：Be7 | 深度 5 | 4.13 秒
118. v4：Kb1 | 深度 5 | 1.48 秒
118... material：Kc7 | 深度 5 | 4.03 秒
119. v4：Ne3 | 深度 5 | 1.63 秒
119... material：Bf8 | 深度 5 | 3.05 秒
120. v4：Nf5 | 深度 5 | 0.93 秒
120... material：Kb7 | 深度 5 | 1.03 秒
本盘结果：*，原因：move_limit_unfinished

===== 第 10/40 盘：西西里式，白方 material，黑方 v4 =====
4. material：Nxd4 | 深度 4 | 5.00 秒
4... v4：e5 | 深度 4 | 5.00 秒
