本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 37/40 盘：后印度，白方 v4，黑方 material =====
46... v4：Ke7 | 深度 5 | 0.41 秒
47. material：Rxd1 | 深度 5 | 0.27 秒
47... v4：Rxh3+ | 深度 5 | 0.82 秒
48. material：Ka2 | 深度 5 | 0.53 秒
48... v4：Rg3 | 深度 5 | 1.39 秒
49. material：Rd5 | 深度 5 | 0.79 秒
49... v4：Rg2+ | 深度 5 | 0.86 秒
50. material：Kb3 | 深度 5 | 0.29 秒
50... v4：Rg3+ | 深度 5 | 0.86 秒
51. material：Kc2 | 深度 5 | 0.33 秒
51... v4：Rg2+ | 深度 5 | 1.20 秒
52. material：Kb3 | 深度 5 | 0.39 秒
52... v4：Rg3+ | 深度 5 | 1.49 秒
53. material：Kc2 | 深度 5 | 0.34 秒
53... v4：Rxg4 | 深度 5 | 1.41 秒
54. material：Rxb5 | 深度 5 | 1.14 秒
54... v4：h3 | 深度 5 | 2.22 秒
55. material：Rc5 | 深度 5 | 1.56 秒
55... v4：h2 | 深度 5 | 1.87 秒
56. material：Re5+ | 深度 5 | 1.86 秒
56... v4：Kf7 | 深度 5 | 1.14 秒
57. material：Rh5 | 深度 5 | 1.65 秒
57... v4：Rg2+ | 深度 5 | 1.96 秒
58. material：Kb3 | 深度 5 | 1.28 秒
58... v4：Kg6 | 深度 5 | 3.80 秒
59. material：Rh4 | 深度 5 | 1.36 秒
59... v4：Kg5 | 深度 5 | 2.92 秒
60. material：Rh3 | 深度 5 | 0.99 秒
60... v4：Kg4 | 深度 5 | 3.06 秒
61. material：Rh8 | 深度 5 | 0.87 秒
61... v4：Kf3 | 深度 5 | 2.07 秒
62. material：Rf8+ | 深度 5 | 3.79 秒
62... v4：Ke2 | 深度 5 | 0.88 秒
63. material：Rh8 | 深度 5 | 2.53 秒
63... v4：Kf2 | 深度 5 | 3.08 秒
64. material：Kc4 | 深度 4 | 5.00 秒
64... v4：Kg1 | 深度 5 | 2.05 秒
65. material：Kd4 | 深度 5 | 2.02 秒
65... v4：Rg4 | 深度 5 | 1.73 秒
66. material：Ke5 | 深度 5 | 2.17 秒
66... v4：h1=Q | 深度 5 | 1.55 秒
67. material：Rxh1+ | 深度 5 | 1.60 秒
67... v4：Kxh1 | 深度 5 | 0.61 秒
68. material：Kd4 | 深度 5 | 0.34 秒
68... v4：Kg2 | 深度 5 | 1.01 秒
69. material：Ke3 | 深度 5 | 0.84 秒
69... v4：Rg3+ | 深度 5 | 0.82 秒
70. material：Kxe4 | 深度 5 | 0.21 秒
70... v4：Rxa3 | 深度 5 | 1.63 秒
71. material：Kd4 | 深度 5 | 0.54 秒
71... v4：Rb3 | 深度 5 | 2.54 秒
72. material：Kc5 | 深度 5 | 0.45 秒
72... v4：Rb2 | 深度 5 | 2.11 秒
73. material：b5 | 深度 5 | 0.42 秒
73... v4：Rc2+ | 深度 5 | 2.16 秒
74. material：Kb6 | 深度 5 | 0.28 秒
74... v4：Rb2 | 深度 5 | 1.47 秒
75. material：Ka5 | 深度 5 | 0.29 秒
75... v4：Ra2+ | 深度 5 | 1.41 秒
76. material：Kb4 | 深度 5 | 0.16 秒
76... v4：Rc2 | 深度 5 | 1.81 秒
77. material：Kb3 | 深度 5 | 0.15 秒
77... v4：Rc1 | 深度 5 | 1.06 秒
78. material：Kb4 | 深度 5 | 0.25 秒
78... v4：Rd1 | 深度 5 | 2.42 秒
79. material：Ka3 | 深度 5 | 0.31 秒
79... v4：Rb1 | 深度 5 | 1.34 秒
80. material：Ka4 | 深度 5 | 0.18 秒
80... v4：Kf3 | 深度 5 | 1.12 秒
81. material：Ka5 | 深度 5 | 0.40 秒
81... v4：Rb3 | 深度 5 | 1.85 秒
82. material：b6 | 深度 5 | 0.17 秒
82... v4：Rb2 | 深度 5 | 1.32 秒
83. material：Ka6 | 深度 5 | 0.35 秒
83... v4：Ke3 | 深度 5 | 2.27 秒
84. material：b7 | 深度 5 | 0.42 秒
84... v4：Kd3 | 深度 5 | 2.39 秒
85. material：Ka7 | 深度 5 | 0.25 秒
85... v4：Ra2+ | 深度 5 | 1.31 秒
86. material：Kb8 | 深度 5 | 0.53 秒
86... v4：Rc2 | 深度 5 | 1.85 秒
87. material：Ka7 | 深度 5 | 0.51 秒
87... v4：Ra2+ | 深度 5 | 1.66 秒
88. material：Kb6 | 深度 5 | 0.47 秒
88... v4：Rb2+ | 深度 5 | 1.53 秒
89. material：Ka7 | 深度 5 | 0.22 秒
v4 申请和棋：{'reason': 'threefold_repetition', 'intended_move': 'b2a2'}
本盘结果：1/2-1/2，原因：claimed_threefold_repetition
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_19.zip

===== 比赛结束 =====
v4获胜： 0
material获胜： 1
和棋： 1
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_19
