本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 5/40 盘：对称英国式，白方 v4，黑方 material =====
20. material：exf5 | 深度 3 | 5.00 秒
20... v4：Qe7 | 深度 4 | 5.00 秒
21. material：Nc1 | 深度 3 | 5.00 秒
21... v4：Qe5 | 深度 4 | 5.00 秒
22. material：bxc5 | 深度 4 | 5.00 秒
22... v4：dxc5 | 深度 3 | 5.00 秒
23. material：Kh2 | 深度 3 | 5.00 秒
23... v4：Bxf5 | 深度 3 | 5.00 秒
24. material：Bxb7 | 深度 3 | 5.00 秒
24... v4：Rad8 | 深度 4 | 5.00 秒
25. material：Rg1 | 深度 3 | 5.00 秒
25... v4：h4 | 深度 3 | 5.00 秒
26. material：Bc6 | 深度 4 | 5.00 秒
26... v4：Re6 | 深度 3 | 5.00 秒
27. material：Qa5 | 深度 4 | 5.00 秒
27... v4：Rb8 | 深度 3 | 5.00 秒
28. material：Bxd4 | 深度 4 | 5.00 秒
28... v4：hxg3+ | 深度 4 | 5.00 秒
29. material：Rxg3 | 深度 4 | 5.00 秒
29... v4：Ng4+ | 深度 4 | 5.00 秒
30. material：hxg4 | 深度 4 | 5.00 秒
30... v4：cxd4 | 深度 4 | 5.00 秒
31. material：Qxe5 | 深度 4 | 5.00 秒
31... v4：Bxe5 | 深度 5 | 1.96 秒
32. material：Rxb8+ | 深度 5 | 1.54 秒
32... v4：Bxb8 | 深度 5 | 0.46 秒
33. material：gxf5+ | 深度 5 | 0.80 秒
33... v4：Bxg3+ | 深度 5 | 0.32 秒
