本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 29/40 盘：西西里封闭，白方 v4，黑方 material =====
43. material：Rf1 | 深度 5 | 1.09 秒
43... v4：Qb2 | 深度 5 | 3.13 秒
44. material：Rf5 | 深度 5 | 1.91 秒
44... v4：a5 | 深度 5 | 3.77 秒
45. material：Bf3 | 深度 5 | 2.14 秒
45... v4：Qxb3 | 深度 5 | 3.55 秒
46. material：Kh2 | 深度 5 | 3.00 秒
46... v4：a4 | 深度 4 | 5.00 秒
47. material：Kg3 | 深度 5 | 3.89 秒
47... v4：Qb2 | 深度 5 | 2.76 秒
48. material：h4 | 深度 5 | 1.51 秒
48... v4：gxh4+ | 深度 5 | 2.47 秒
49. material：Kf4 | 深度 5 | 1.94 秒
49... v4：Qd4+ | 深度 5 | 4.16 秒
50. material：Be4 | 深度 5 | 0.79 秒
50... v4：Qd2+ | 深度 5 | 4.55 秒
51. material：Kf3 | 深度 5 | 1.18 秒
51... v4：Qe1 | 深度 5 | 4.41 秒
52. material：Bd3 | 深度 5 | 4.51 秒
52... v4：Qg3+ | 深度 5 | 3.53 秒
53. material：Ke4 | 深度 5 | 0.71 秒
53... v4：Qxg4+ | 深度 5 | 2.81 秒
54. material：Ke3 | 深度 5 | 1.20 秒
54... v4：Qg1+ | 深度 5 | 4.72 秒
55. material：Kf4 | 深度 5 | 2.97 秒
55... v4：Qd4+ | 深度 4 | 5.00 秒
56. material：Be4 | 深度 5 | 0.83 秒
56... v4：a3 | 深度 5 | 3.90 秒
57. material：Rxf6 | 深度 5 | 4.98 秒
57... v4：Qxf6+ | 深度 5 | 1.44 秒
58. material：Bf5+ | 深度 5 | 4.63 秒
58... v4：Kd6 | 深度 5 | 1.01 秒
59. material：Kg4 | 深度 5 | 2.41 秒
59... v4：a2 | 深度 5 | 4.19 秒
60. material：Bc8 | 深度 5 | 1.52 秒
60... v4：a1=Q | 深度 4 | 5.00 秒
61. material：Bf5 | 深度 4 | 5.00 秒
61... v4：Qg1+ | 深度 4 | 5.00 秒
62. material：Kf3 | 深度 5 | 2.37 秒
62... v4：Qfg5 | 深度 4 | 5.00 秒
63. material：Be4 | 深度 4 | 5.00 秒
63... v4：Q5g4# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_15.zip

===== 比赛结束 =====
v4获胜： 1
material获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_15
