本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 39/40 盘：荷兰，白方 v4，黑方 material =====
21. material：Bxe5 | 深度 3 | 5.00 秒
21... v4：Re6 | 深度 4 | 5.00 秒
22. material：Bxg7 | 深度 4 | 5.00 秒
22... v4：Kxg7 | 深度 4 | 5.00 秒
23. material：Bxb7 | 深度 3 | 5.00 秒
23... v4：Ra7 | 深度 4 | 5.00 秒
24. material：Bd5 | 深度 4 | 5.00 秒
24... v4：Re5 | 深度 4 | 5.00 秒
25. material：Bxf7 | 深度 4 | 5.00 秒
25... v4：Rxf7 | 深度 4 | 5.00 秒
26. material：Rd3 | 深度 3 | 5.00 秒
26... v4：Qb6 | 深度 3 | 5.00 秒
27. material：e3 | 深度 4 | 5.00 秒
27... v4：Qc5 | 深度 3 | 5.00 秒
28. material：Rcd1 | 深度 3 | 5.00 秒
28... v4：Rf6 | 深度 4 | 5.00 秒
29. material：h4 | 深度 3 | 5.00 秒
29... v4：gxh4 | 深度 4 | 5.00 秒
30. material：gxh4 | 深度 4 | 5.00 秒
30... v4：Re4 | 深度 3 | 5.00 秒
31. material：Qc3 | 深度 3 | 5.00 秒
31... v4：Rxh4 | 深度 4 | 5.00 秒
32. material：Rxd6 | 深度 3 | 5.00 秒
32... v4：Qg5+ | 深度 5 | 2.77 秒
33. material：Kf1 | 深度 5 | 2.85 秒
33... v4：Rh1+ | 深度 5 | 2.09 秒
34. material：Ke2 | 深度 5 | 1.29 秒
34... v4：Qh5+ | 深度 5 | 2.18 秒
35. material：Kd3 | 深度 5 | 1.60 秒
35... v4：Qxd1+ | 深度 5 | 2.88 秒
36. material：Ke4 | 深度 5 | 1.35 秒
36... v4：Qf3+ | 深度 5 | 4.33 秒
37. material：Kd4 | 深度 5 | 4.68 秒
37... v4：Rd1+ | 深度 4 | 5.00 秒
38. material：Kc5 | 深度 5 | 2.24 秒
38... v4：Rxd6 | 深度 5 | 3.94 秒
39. material：Kb5 | 深度 4 | 5.00 秒
39... v4：Rb6+ | 深度 4 | 5.00 秒
40. material：Ka4 | 深度 5 | 3.96 秒
40... v4：Qxf2 | 深度 4 | 5.00 秒
41. material：Qa1 | 深度 5 | 4.68 秒
41... v4：Qd2 | 深度 4 | 5.00 秒
42. material：Qg1+ | 深度 4 | 5.00 秒
42... v4：Kf7 | 深度 5 | 3.01 秒
