本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 15/40 盘：斯拉夫式，白方 v4，黑方 material =====
81. v4：Ka5 | 深度 5 | 2.40 秒
81... material：Ra8+ | 深度 5 | 1.07 秒
82. v4：Kb6 | 深度 5 | 0.88 秒
82... material：Rb8+ | 深度 5 | 1.28 秒
83. v4：Nb7 | 深度 5 | 1.33 秒
83... material：Kf4 | 深度 5 | 1.30 秒
84. v4：Bd6 | 深度 5 | 2.38 秒
84... material：Rc8 | 深度 5 | 0.98 秒
85. v4：Nc5 | 深度 5 | 2.65 秒
85... material：Kf5 | 深度 5 | 1.03 秒
86. v4：Bc7 | 深度 5 | 3.92 秒
86... material：Ra8 | 深度 5 | 1.06 秒
87. v4：Kc6 | 深度 5 | 3.08 秒
87... material：Rh8 | 深度 5 | 1.64 秒
88. v4：Kd7 | 深度 5 | 4.06 秒
88... material：Rh7+ | 深度 5 | 1.35 秒
89. v4：Kc6 | 深度 5 | 1.65 秒
89... material：Rh8 | 深度 5 | 1.63 秒
90. v4：Kd7 | 深度 5 | 4.15 秒
90... material：Rh7+ | 深度 5 | 1.34 秒
91. v4：Kd6 | 深度 5 | 1.69 秒
91... material：Rh8 | 深度 5 | 1.54 秒
92. v4：Ke7 | 深度 5 | 3.75 秒
92... material：Rh7+ | 深度 5 | 1.32 秒
93. v4：Kd6 | 深度 5 | 1.25 秒
93... material：Rh8 | 深度 5 | 1.50 秒
94. v4：Bb6 | 深度 5 | 4.14 秒
94... material：Rg8 | 深度 5 | 2.30 秒
95. v4：Kc7 | 深度 5 | 4.52 秒
95... material：Rg6 | 深度 5 | 1.73 秒
96. v4：Kc8 | 深度 5 | 3.46 秒
96... material：Rg5 | 深度 5 | 1.53 秒
97. v4：Kc7 | 深度 5 | 2.59 秒
97... material：Rg6 | 深度 5 | 1.41 秒
98. v4：Kc8 | 深度 5 | 3.70 秒
98... material：Rg5 | 深度 5 | 1.54 秒
99. v4：Bc7 | 深度 5 | 2.88 秒
99... material：Rg4 | 深度 5 | 1.35 秒
100. v4：Kd7 | 深度 5 | 1.69 秒
100... material：Rg6 | 深度 5 | 1.45 秒
101. v4：Nd3 | 深度 5 | 2.69 秒
101... material：Rh6 | 深度 5 | 3.25 秒
102. v4：Kc6 | 深度 4 | 5.00 秒
102... material：Ke4 | 深度 5 | 3.38 秒
103. v4：Nc5+ | 深度 5 | 1.71 秒
103... material：Kxd4 | 深度 5 | 1.04 秒
104. v4：Kd6 | 深度 5 | 2.03 秒
104... material：Rh4 | 深度 5 | 0.97 秒
105. v4：Nxe6+ | 深度 5 | 2.73 秒
105... material：Ke4 | 深度 5 | 0.43 秒
106. v4：Bd8 | 深度 5 | 3.44 秒
