本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 7/40 盘：西班牙式，白方 v4，黑方 material =====
80. material：Kf2 | 深度 5 | 0.12 秒
80... v4：Kd4 | 深度 5 | 0.82 秒
81. material：Kg2 | 深度 5 | 0.15 秒
81... v4：Ke3 | 深度 5 | 1.45 秒
82. material：Kg1 | 深度 5 | 0.30 秒
82... v4：Kf3 | 深度 5 | 0.80 秒
83. material：Kh2 | 深度 5 | 0.07 秒
83... v4：Bf5 | 深度 5 | 0.55 秒
84. material：Kh1 | 深度 5 | 0.13 秒
84... v4：Kxg3 | 深度 5 | 0.81 秒
85. material：Kg1 | 深度 5 | 0.10 秒
85... v4：Bd3 | 深度 5 | 0.60 秒
86. material：Kh1 | 深度 5 | 0.09 秒
86... v4：Bb1 | 深度 5 | 0.68 秒
87. material：Kg1 | 深度 5 | 0.09 秒
87... v4：Bd3 | 深度 5 | 0.75 秒
88. material：Kh1 | 深度 5 | 0.12 秒
88... v4：Be4+ | 深度 5 | 0.72 秒
89. material：Kg1 | 深度 5 | 0.13 秒
89... v4：Bc2 | 深度 5 | 0.82 秒
90. material：Kf1 | 深度 5 | 0.13 秒
90... v4：Kf3 | 深度 5 | 1.16 秒
91. material：Kg1 | 深度 5 | 0.15 秒
91... v4：Be4 | 深度 5 | 1.02 秒
92. material：Kf1 | 深度 5 | 0.15 秒
92... v4：h4 | 深度 5 | 1.08 秒
93. material：Kg1 | 深度 5 | 0.10 秒
93... v4：Bd3 | 深度 5 | 0.96 秒
94. material：Kh1 | 深度 5 | 0.13 秒
94... v4：Kg3 | 深度 5 | 0.89 秒
95. material：Kg1 | 深度 5 | 0.10 秒
95... v4：h3 | 深度 5 | 0.66 秒
96. material：Kh1 | 深度 5 | 0.07 秒
96... v4：Be2 | 深度 5 | 0.48 秒
97. material：Kg1 | 深度 5 | 0.07 秒
97... v4：h2+ | 深度 5 | 0.39 秒
98. material：Kh1 | 深度 5 | 0.00 秒
98... v4：Bf3# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_04.zip

===== 比赛结束 =====
v4获胜： 2
material获胜： 0
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_04
