本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 3/20 盘：后翼弃兵发展，白方 candidate，黑方 material =====
86... material：Bf5 | 深度 4 | 5.00 秒
87. candidate：Kc7 | 深度 4 | 5.00 秒
87... material：Be4 | 深度 4 | 5.00 秒
88. candidate：Kd6 | 深度 5 | 3.61 秒
88... material：Bf5 | 深度 4 | 5.00 秒
89. candidate：Kc7 | 深度 4 | 5.00 秒
89... material：Bc2 | 深度 4 | 5.00 秒
90. candidate：Kd7 | 深度 4 | 5.00 秒
90... material：Kg6 | 深度 4 | 5.00 秒
91. candidate：Kc7 | 深度 4 | 5.00 秒
91... material：Be4 | 深度 4 | 5.00 秒
92. candidate：Kd6 | 深度 5 | 3.92 秒
92... material：Bf5 | 深度 4 | 5.00 秒
93. candidate：Kc7 | 深度 4 | 5.00 秒
93... material：Be4 | 深度 4 | 5.00 秒
94. candidate：Kd6 | 深度 5 | 4.21 秒
94... material：Bf5 | 深度 4 | 5.00 秒
95. candidate：Kc7 | 深度 4 | 5.00 秒
95... material：Be6 | 深度 4 | 5.00 秒
96. candidate：Kd6 | 深度 5 | 4.42 秒
96... material：Kf5 | 深度 4 | 5.00 秒
97. candidate：Kc7 | 深度 5 | 3.97 秒
97... material：Kg6 | 深度 4 | 5.00 秒
98. candidate：Kd6 | 深度 5 | 4.69 秒
98... material：Kf5 | 深度 4 | 5.00 秒
99. candidate：Kc7 | 深度 5 | 4.22 秒
99... material：Ke5 | 深度 4 | 5.00 秒
100. candidate：Kc6 | 深度 5 | 4.47 秒
100... material：Kf6 | 深度 4 | 5.00 秒
101. candidate：Kd6 | 深度 5 | 4.32 秒
101... material：Rc2 | 深度 4 | 5.00 秒
102. candidate：Kc6 | 深度 4 | 5.00 秒
102... material：Rc3 | 深度 4 | 5.00 秒
103. candidate：Kd6 | 深度 5 | 4.73 秒
103... material：Rb3 | 深度 4 | 5.00 秒
104. candidate：Kc6 | 深度 5 | 4.33 秒
104... material：Ke7 | 深度 4 | 5.00 秒
105. candidate：Kc7 | 深度 5 | 4.75 秒
105... material：Rc3 | 深度 4 | 5.00 秒
106. candidate：Kc6 | 深度 5 | 4.81 秒
106... material：Rc4 | 深度 4 | 5.00 秒
107. candidate：Kc7 | 深度 5 | 3.76 秒
107... material：Rc3 | 深度 4 | 5.00 秒
108. candidate：Kc6 | 深度 5 | 4.90 秒
108... material：Rc4 | 深度 4 | 5.00 秒
109. candidate：Kc7 | 深度 5 | 3.93 秒
109... material：Rg4 | 深度 4 | 5.00 秒
110. candidate：Kc6 | 深度 4 | 5.00 秒
110... material：Rh4 | 深度 4 | 5.00 秒
111. candidate：Kc7 | 深度 4 | 5.00 秒
111... material：Qg4 | 深度 4 | 5.00 秒
112. candidate：Kc6 | 深度 5 | 4.27 秒
112... material：Qc4 | 深度 4 | 5.00 秒
113. candidate：Kb6 | 深度 4 | 5.00 秒
113... material：Qcb4 | 深度 4 | 5.00 秒
114. candidate：Kc6 | 深度 4 | 5.00 秒
114... material：Rg4 | 深度 4 | 5.00 秒
115. candidate：Kc7 | 深度 4 | 5.00 秒
115... material：Rh4 | 深度 4 | 5.00 秒
116. candidate：Kc6 | 深度 4 | 5.00 秒
116... material：Rg4 | 深度 4 | 5.00 秒
117. candidate：Kc7 | 深度 4 | 5.00 秒
117... material：Rg3 | 深度 4 | 5.00 秒
118. candidate：Kc6 | 深度 4 | 5.00 秒
118... material：Rg2 | 深度 4 | 5.00 秒
119. candidate：Kc7 | 深度 4 | 5.00 秒
119... material：Rg3 | 深度 4 | 5.00 秒
120. candidate：Kc6 | 深度 4 | 5.00 秒
120... material：Rg2 | 深度 4 | 5.00 秒
本盘结果：*，原因：move_limit_unfinished

===== 第 4/20 盘：后翼弃兵发展，白方 material，黑方 candidate =====
4. material：cxd5 | 深度 4 | 5.00 秒
4... candidate：exd5 | 深度 3 | 5.00 秒
5. material：Bg5 | 深度 4 | 5.00 秒
5... candidate：a5 | 深度 3 | 5.00 秒
6. material：e3 | 深度 3 | 5.00 秒
6... candidate：Bb4 | 深度 3 | 5.00 秒
7. material：Bd3 | 深度 3 | 5.00 秒
7... candidate：Bxc3+ | 深度 3 | 5.00 秒
8. material：bxc3 | 深度 4 | 5.00 秒
8... candidate：h6 | 深度 3 | 5.00 秒
9. material：Bh4 | 深度 4 | 5.00 秒
9... candidate：g5 | 深度 3 | 5.00 秒
10. material：Bg3 | 深度 4 | 5.00 秒
10... candidate：Bg4 | 深度 3 | 5.00 秒
11. material：Ne2 | 深度 4 | 5.00 秒
11... candidate：Qe7 | 深度 3 | 5.00 秒
12. material：O-O | 深度 3 | 5.00 秒
12... candidate：Nc6 | 深度 3 | 5.00 秒
13. material：Qb3 | 深度 3 | 5.00 秒
13... candidate：O-O-O | 深度 2 | 5.00 秒
14. material：h3 | 深度 3 | 5.00 秒
14... candidate：Bxe2 | 深度 3 | 5.00 秒
15. material：Bxe2 | 深度 3 | 5.00 秒
15... candidate：Ne4 | 深度 3 | 5.00 秒
16. material：Bg4+ | 深度 4 | 5.00 秒
16... candidate：f5 | 深度 3 | 5.00 秒
17. material：Bxf5+ | 深度 4 | 5.00 秒
17... candidate：Kb8 | 深度 4 | 5.00 秒
18. material：Rfb1 | 深度 3 | 5.00 秒
18... candidate：Nd6 | 深度 3 | 5.00 秒
19. material：Qxd5 | 深度 3 | 5.00 秒
19... candidate：Nxf5 | 深度 2 | 5.00 秒
20. material：Qxf5 | 深度 3 | 5.00 秒
20... candidate：h5 | 深度 2 | 5.00 秒
21. material：Qb5 | 深度 3 | 5.00 秒
21... candidate：Nb4 | 深度 3 | 5.00 秒
22. material：cxb4 | 深度 3 | 5.00 秒
22... candidate：axb4 | 深度 3 | 5.00 秒
