本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 15/20 盘：斯拉夫式，白方 candidate，黑方 material =====
32. material：Ref1 | 深度 5 | 4.01 秒
32... candidate：Ba6 | 深度 3 | 5.00 秒
33. material：Rb1 | 深度 5 | 2.49 秒
33... candidate：Nd2 | 深度 3 | 5.00 秒
34. material：Ra1 | 深度 4 | 5.00 秒
34... candidate：Bb5 | 深度 3 | 5.00 秒
35. material：Bg6 | 深度 4 | 5.00 秒
35... candidate：Kg7 | 深度 3 | 5.00 秒
36. material：Bh5 | 深度 4 | 5.00 秒
36... candidate：Bd4 | 深度 3 | 5.00 秒
37. material：g3 | 深度 3 | 5.00 秒
37... candidate：Rf2+ | 深度 4 | 5.00 秒
38. material：Kg1 | 深度 5 | 3.75 秒
38... candidate：Re2# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_08.zip

===== 比赛结束 =====
价值版获胜： 1
子力版获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_08
