本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 17/20 盘：王印式，白方 candidate，黑方 material =====
69. material：Ke3 | 深度 5 | 1.19 秒
69... candidate：Ne5 | 深度 5 | 3.59 秒
70. material：Ke4 | 深度 5 | 0.55 秒
70... candidate：Ng6 | 深度 5 | 4.27 秒
71. material：Ke3 | 深度 5 | 1.00 秒
71... candidate：Ne5 | 深度 5 | 3.44 秒
72. material：Ke4 | 深度 5 | 0.54 秒
72... candidate：Ng6 | 深度 5 | 4.34 秒
73. material：Bc6 | 深度 5 | 0.87 秒
73... candidate：Ne7 | 深度 5 | 4.83 秒
74. material：Bb5 | 深度 5 | 0.69 秒
74... candidate：Kh4 | 深度 4 | 5.00 秒
75. material：Kf3 | 深度 5 | 0.86 秒
75... candidate：Nf5 | 深度 5 | 2.56 秒
76. material：Kf2 | 深度 5 | 1.07 秒
76... candidate：Kg5 | 深度 5 | 4.93 秒
77. material：Kg1 | 深度 5 | 1.33 秒
77... candidate：Kf4 | 深度 4 | 5.00 秒
78. material：Kg2 | 深度 5 | 1.27 秒
78... candidate：Ke4 | 深度 4 | 5.00 秒
79. material：Kf2 | 深度 5 | 2.89 秒
79... candidate：Kd3 | 深度 4 | 5.00 秒
80. material：Ke1 | 深度 5 | 1.47 秒
80... candidate：Ne3 | 深度 4 | 5.00 秒
81. material：Kf2 | 深度 5 | 0.37 秒
81... candidate：Nxc4 | 深度 5 | 4.18 秒
82. material：Ba6 | 深度 5 | 0.66 秒
82... candidate：Kc3 | 深度 5 | 2.50 秒
83. material：Ke2 | 深度 5 | 0.35 秒
83... candidate：Ne5 | 深度 5 | 4.74 秒
84. material：Bb7 | 深度 5 | 0.32 秒
84... candidate：c4 | 深度 4 | 5.00 秒
85. material：Bd5 | 深度 5 | 0.42 秒
85... candidate：Kd4 | 深度 5 | 1.87 秒
86. material：Bxc4 | 深度 5 | 0.34 秒
86... candidate：Kc3 | 深度 5 | 3.07 秒
87. material：Bb5 | 深度 5 | 0.26 秒
87... candidate：Kb3 | 深度 4 | 5.00 秒
88. material：Ke3 | 深度 5 | 0.43 秒
88... candidate：Ng6 | 深度 5 | 4.37 秒
89. material：Kd3 | 深度 5 | 0.66 秒
89... candidate：Nf4+ | 深度 5 | 2.07 秒
90. material：Ke3 | 深度 5 | 0.30 秒
90... candidate：Nd5+ | 深度 5 | 1.46 秒
91. material：Kd3 | 深度 5 | 0.38 秒
91... candidate：Nf4+ | 深度 5 | 2.85 秒
92. material：Ke3 | 深度 5 | 0.34 秒
92... candidate：Nd5+ | 深度 5 | 2.56 秒
93. material：Kf3 | 深度 5 | 0.42 秒
93... candidate：Nf6 | 深度 5 | 2.85 秒
94. material：Kf2 | 深度 5 | 0.83 秒
94... candidate：Kb2 | 深度 4 | 5.00 秒
95. material：Ke3 | 深度 5 | 1.14 秒
95... candidate：Nd5+ | 深度 5 | 4.02 秒
96. material：Kf3 | 深度 5 | 0.58 秒
96... candidate：Ka1 | 深度 4 | 5.00 秒
97. material：Kg2 | 深度 5 | 0.86 秒
97... candidate：Kb2 | 深度 4 | 5.00 秒
98. material：Kf3 | 深度 5 | 1.28 秒
98... candidate：Ka1 | 深度 4 | 5.00 秒
99. material：Kg2 | 深度 5 | 0.94 秒
99... candidate：Nc3 | 深度 4 | 5.00 秒
100. material：Bc4 | 深度 5 | 0.54 秒
100... candidate：Kb2 | 深度 5 | 4.16 秒
101. material：Kf2 | 深度 5 | 0.94 秒
101... candidate：Ne4+ | 深度 5 | 4.63 秒
102. material：Ke2 | 深度 5 | 0.68 秒
102... candidate：Nc5 | 深度 4 | 5.00 秒
103. material：Kd2 | 深度 5 | 0.92 秒
103... candidate：Ne4+ | 深度 5 | 2.07 秒
104. material：Kd3 | 深度 5 | 0.50 秒
104... candidate：Nd6 | 深度 5 | 3.73 秒
105. material：Bd5 | 深度 5 | 0.40 秒
105... candidate：Nb5 | 深度 4 | 5.00 秒
106. material：Be4 | 深度 5 | 1.03 秒
106... candidate：Na3 | 深度 4 | 5.00 秒
107. material：Bf5 | 深度 5 | 1.14 秒
107... candidate：Nb5 | 深度 5 | 4.83 秒
108. material：Be4 | 深度 5 | 1.09 秒
108... candidate：Kb3 | 深度 4 | 5.00 秒
109. material：Bd5+ | 深度 5 | 0.98 秒
109... candidate：Kb4 | 深度 5 | 2.48 秒
110. material：Be4 | 深度 5 | 1.24 秒
110... candidate：Nc7 | 深度 4 | 5.00 秒
111. material：Kc2 | 深度 5 | 1.47 秒
111... candidate：Ne6 | 深度 4 | 5.00 秒
112. material：Bd3 | 深度 5 | 1.47 秒
112... candidate：Ka3 | 深度 4 | 5.00 秒
113. material：Bh7 | 深度 5 | 1.12 秒
113... candidate：Nd4+ | 深度 5 | 3.31 秒
114. material：Kc3 | 深度 5 | 0.52 秒
114... candidate：Nb5+ | 深度 5 | 1.61 秒
115. material：Kc2 | 深度 5 | 0.36 秒
115... candidate：Nd4+ | 深度 5 | 2.10 秒
116. material：Kc3 | 深度 5 | 0.50 秒
116... candidate：Ne2+ | 深度 5 | 1.76 秒
117. material：Kc4 | 深度 5 | 0.31 秒
117... candidate：Nf4 | 深度 5 | 3.79 秒
118. material：Kc5 | 深度 5 | 0.79 秒
118... candidate：Ne6+ | 深度 5 | 4.09 秒
119. material：Kb5 | 深度 5 | 0.46 秒
119... candidate：Nc7+ | 深度 5 | 2.81 秒
120. material：Kc5 | 深度 5 | 0.57 秒
120... candidate：Ne6+ | 深度 5 | 1.91 秒
本盘结果：*，原因：move_limit_unfinished
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_09.zip

===== 比赛结束 =====
价值版获胜： 0
子力版获胜： 1
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_09
