本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

62... candidate：Rf1 | 深度 4 | 5.00 秒
63. material：Ke2 | 深度 4 | 5.00 秒
63... candidate：Rg1 | 深度 4 | 5.00 秒
64. material：Kf2 | 深度 4 | 5.00 秒
64... candidate：Rd1 | 深度 4 | 5.00 秒
65. material：Ke2 | 深度 4 | 5.00 秒
65... candidate：Rg1 | 深度 4 | 5.00 秒
66. material：Kf2 | 深度 4 | 5.00 秒
66... candidate：Rd1 | 深度 4 | 5.00 秒
67. material：Kf3 | 深度 4 | 5.00 秒
67... candidate：Re1 | 深度 4 | 5.00 秒
68. material：Kf4 | 深度 5 | 3.04 秒
68... candidate：Rc1 | 深度 3 | 5.00 秒
69. material：Kf5 | 深度 4 | 5.00 秒
69... candidate：Rf1+ | 深度 4 | 5.00 秒
70. material：Kg5 | 深度 5 | 1.20 秒
70... candidate：Re1 | 深度 4 | 5.00 秒
71. material：Kf4 | 深度 5 | 3.42 秒
71... candidate：Rc1 | 深度 3 | 5.00 秒
72. material：Kf5 | 深度 4 | 5.00 秒
72... candidate：Rf1+ | 深度 4 | 5.00 秒
73. material：Kg5 | 深度 5 | 1.43 秒
73... candidate：Re1 | 深度 4 | 5.00 秒
74. material：Bf6 | 深度 5 | 2.94 秒
74... candidate：Rf1 | 深度 4 | 5.00 秒
75. material：Rh6 | 深度 5 | 2.69 秒
75... candidate：Rd1 | 深度 3 | 5.00 秒
76. material：Rh8 | 深度 4 | 5.00 秒
76... candidate：Rd5+ | 深度 4 | 5.00 秒
77. material：Kh6 | 深度 5 | 0.92 秒
77... candidate：Rd3 | 深度 4 | 5.00 秒
78. material：Kg5 | 深度 5 | 1.14 秒
78... candidate：Rd5+ | 深度 4 | 5.00 秒
79. material：Kh6 | 深度 5 | 1.07 秒
79... candidate：Rd3 | 深度 4 | 5.00 秒
80. material：h4 | 深度 5 | 0.90 秒
80... candidate：Rg3 | 深度 4 | 5.00 秒
81. material：g5 | 深度 5 | 1.21 秒
81... candidate：Rg4 | 深度 4 | 5.00 秒
82. material：h5 | 深度 5 | 1.17 秒
82... candidate：Re4 | 深度 4 | 5.00 秒
83. material：g6+ | 深度 5 | 1.09 秒
83... candidate：Kxf6 | 深度 5 | 3.16 秒
84. material：Rxg8 | 深度 5 | 0.36 秒
84... candidate：Rg4 | 深度 4 | 5.00 秒
85. material：Rf8+ | 深度 5 | 0.34 秒
85... candidate：Ke5 | 深度 5 | 1.97 秒
86. material：g8=Q | 深度 5 | 1.10 秒
86... candidate：Rg1 | 深度 3 | 5.00 秒
87. material：Qh8+ | 深度 5 | 1.72 秒
87... candidate：Ke4 | 深度 4 | 5.00 秒
88. material：g7 | 深度 5 | 1.09 秒
88... candidate：Kd3 | 深度 5 | 3.70 秒
89. material：Qh7+ | 深度 5 | 2.11 秒
89... candidate：Kc3 | 深度 4 | 5.00 秒
90. material：Rf3+ | 深度 5 | 2.89 秒
90... candidate：Kb2 | 深度 5 | 3.45 秒
91. material：Rf2+ | 深度 4 | 5.00 秒
91... candidate：Kc3 | 深度 4 | 5.00 秒
92. material：Rf3+ | 深度 5 | 3.01 秒
92... candidate：Kb2 | 深度 5 | 3.44 秒
93. material：Rf2+ | 深度 4 | 5.00 秒
93... candidate：Kc3 | 深度 4 | 5.00 秒
94. material：g8=Q | 深度 5 | 2.60 秒
94... candidate：Rxg8 | 深度 5 | 1.28 秒
95. material：Qxg8 | 深度 5 | 1.32 秒
95... candidate：Kd3 | 深度 4 | 5.00 秒
96. material：Qg5 | 深度 4 | 5.00 秒
96... candidate：Kd4 | 深度 5 | 3.98 秒
97. material：Ra2 | 深度 4 | 5.00 秒
97... candidate：Kc4 | 深度 5 | 4.91 秒
98. material：Qg7 | 深度 4 | 5.00 秒
98... candidate：Kd3 | 深度 4 | 5.00 秒
99. material：Rh2 | 深度 4 | 5.00 秒
99... candidate：Ke3 | 深度 5 | 4.46 秒
100. material：Rh1 | 深度 4 | 5.00 秒
100... candidate：Kd3 | 深度 4 | 5.00 秒
101. material：Qh7+ | 深度 4 | 5.00 秒
101... candidate：Kd2 | 深度 4 | 5.00 秒
102. material：Qg7 | 深度 4 | 5.00 秒
102... candidate：Kd3 | 深度 4 | 5.00 秒
103. material：Qh7+ | 深度 4 | 5.00 秒
103... candidate：Kd2 | 深度 4 | 5.00 秒
104. material：Qh8 | 深度 4 | 5.00 秒
104... candidate：Kd3 | 深度 4 | 5.00 秒
105. material：Qg7 | 深度 4 | 5.00 秒
105... candidate：Kd2 | 深度 3 | 5.00 秒
