本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 11/20 盘：法兰西式，白方 candidate，黑方 material =====
103... material：Ka3 | 深度 5 | 1.37 秒
104. candidate：Qfb2# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 12/20 盘：法兰西式，白方 material，黑方 candidate =====
4. material：e5 | 深度 4 | 5.00 秒
4... candidate：Ne4 | 深度 3 | 5.00 秒
5. material：Nxe4 | 深度 4 | 5.00 秒
5... candidate：dxe4 | 深度 3 | 5.00 秒
6. material：c3 | 深度 4 | 5.00 秒
6... candidate：Qd5 | 深度 3 | 5.00 秒
7. material：f4 | 深度 4 | 5.00 秒
7... candidate：Be7 | 深度 3 | 5.00 秒
8. material：Ne2 | 深度 4 | 5.00 秒
8... candidate：Bd7 | 深度 3 | 5.00 秒
9. material：Be3 | 深度 4 | 5.00 秒
9... candidate：a5 | 深度 3 | 5.00 秒
10. material：Qd2 | 深度 4 | 5.00 秒
10... candidate：O-O | 深度 3 | 5.00 秒
11. material：g4 | 深度 4 | 5.00 秒
11... candidate：Bh4+ | 深度 3 | 5.00 秒
12. material：Ng3 | 深度 4 | 5.00 秒
12... candidate：f5 | 深度 3 | 5.00 秒
13. material：Be2 | 深度 4 | 5.00 秒
13... candidate：c6 | 深度 3 | 5.00 秒
14. material：c4 | 深度 4 | 5.00 秒
14... candidate：Bxg3+ | 深度 3 | 5.00 秒
15. material：hxg3 | 深度 5 | 1.67 秒
15... candidate：g5 | 深度 4 | 5.00 秒
16. material：cxd5 | 深度 4 | 5.00 秒
16... candidate：gxf4 | 深度 4 | 5.00 秒
17. material：Bxf4 | 深度 4 | 5.00 秒
17... candidate：fxg4 | 深度 3 | 5.00 秒
18. material：dxc6 | 深度 4 | 5.00 秒
18... candidate：Bxc6 | 深度 3 | 5.00 秒
19. material：Bxg4 | 深度 3 | 5.00 秒
19... candidate：Re8 | 深度 3 | 5.00 秒
20. material：O-O | 深度 3 | 5.00 秒
20... candidate：Bb5 | 深度 3 | 5.00 秒
21. material：Rfc1 | 深度 4 | 5.00 秒
21... candidate：Bd3 | 深度 3 | 5.00 秒
22. material：Rc8 | 深度 4 | 5.00 秒
22... candidate：Rxc8 | 深度 4 | 5.00 秒
23. material：Bxe6+ | 深度 4 | 5.00 秒
23... candidate：Kh8 | 深度 4 | 5.00 秒
24. material：Bxc8 | 深度 4 | 5.00 秒
24... candidate：b6 | 深度 3 | 5.00 秒
25. material：Qe3 | 深度 4 | 5.00 秒
25... candidate：Na6 | 深度 3 | 5.00 秒
26. material：Bf5 | 深度 4 | 5.00 秒
26... candidate：Re8 | 深度 3 | 5.00 秒
27. material：Bxe4 | 深度 4 | 5.00 秒
27... candidate：Bxe4 | 深度 4 | 5.00 秒
28. material：Qxe4 | 深度 4 | 5.00 秒
28... candidate：Nb4 | 深度 3 | 5.00 秒
29. material：a3 | 深度 4 | 5.00 秒
29... candidate：Na6 | 深度 4 | 5.00 秒
30. material：Qb7 | 深度 4 | 5.00 秒
30... candidate：Nb8 | 深度 4 | 5.00 秒
31. material：e6 | 深度 3 | 5.00 秒
31... candidate：Na6 | 深度 3 | 5.00 秒
32. material：Be5+ | 深度 4 | 5.00 秒
32... candidate：Kg8 | 深度 5 | 4.09 秒
33. material：Qf7# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_06.zip

===== 比赛结束 =====
价值版获胜： 1
子力版获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_06
