本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 17/20 盘：王印式，白方 v4，黑方 v3 =====
72. v4：Bb5 | 深度 4 | 5.00 秒
72... v3：Bc3 | 深度 4 | 5.00 秒
73. v4：Be2 | 深度 4 | 5.00 秒
73... v3：Bg7 | 深度 4 | 5.00 秒
74. v4：Be3 | 深度 5 | 4.68 秒
74... v3：Be5 | 深度 5 | 4.43 秒
75. v4：Bxf2 | 深度 5 | 2.89 秒
75... v3：Bg7 | 深度 4 | 5.00 秒
76. v4：a7 | 深度 5 | 2.15 秒
76... v3：Nd6+ | 深度 5 | 2.95 秒
77. v4：Kg6 | 深度 5 | 1.51 秒
77... v3：Bf8 | 深度 5 | 2.65 秒
78. v4：a8=Q | 深度 4 | 5.00 秒
78... v3：Kg8 | 深度 4 | 5.00 秒
79. v4：Qd5+ | 深度 4 | 5.00 秒
79... v3：Kh8 | 深度 5 | 4.18 秒
80. v4：Bd4+ | 深度 4 | 5.00 秒
80... v3：Bg7 | 深度 5 | 3.49 秒
81. v4：Bxg7# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 18/20 盘：王印式，白方 v3，黑方 v4 =====
4. v3：Nh3 | 深度 3 | 5.00 秒
4... v4：a5 | 深度 4 | 5.00 秒
5. v3：Be3 | 深度 3 | 5.00 秒
5... v4：O-O | 深度 4 | 5.00 秒
6. v3：Qb3 | 深度 3 | 5.00 秒
6... v4：c6 | 深度 4 | 5.00 秒
7. v3：O-O-O | 深度 4 | 5.00 秒
7... v4：h6 | 深度 4 | 5.00 秒
8. v3：Rg1 | 深度 3 | 5.00 秒
8... v4：d5 | 深度 4 | 5.00 秒
9. v3：cxd5 | 深度 4 | 5.00 秒
9... v4：Bxh3 | 深度 4 | 5.00 秒
10. v3：Qxb7 | 深度 4 | 5.00 秒
10... v4：Na6 | 深度 4 | 5.00 秒
11. v3：gxh3 | 深度 4 | 5.00 秒
11... v4：cxd5 | 深度 4 | 5.00 秒
12. v3：Qb3 | 深度 3 | 5.00 秒
12... v4：Rb8 | 深度 4 | 5.00 秒
13. v3：Qa3 | 深度 3 | 5.00 秒
13... v4：Qc7 | 深度 3 | 5.00 秒
14. v3：Bg2 | 深度 3 | 5.00 秒
14... v4：Rfd8 | 深度 3 | 5.00 秒
15. v3：Kb1 | 深度 3 | 5.00 秒
15... v4：Nb4 | 深度 3 | 5.00 秒
16. v3：Rc1 | 深度 3 | 5.00 秒
16... v4：Re8 | 深度 3 | 5.00 秒
17. v3：Nxd5 | 深度 3 | 5.00 秒
17... v4：Qd7 | 深度 4 | 5.00 秒
18. v3：Nxf6+ | 深度 3 | 5.00 秒
18... v4：exf6 | 深度 4 | 5.00 秒
19. v3：Qxa5 | 深度 3 | 5.00 秒
19... v4：Rb5 | 深度 4 | 5.00 秒
20. v3：Qa3 | 深度 3 | 5.00 秒
20... v4：Qf5+ | 深度 3 | 5.00 秒
21. v3：Ka1 | 深度 4 | 5.00 秒
21... v4：Nc2+ | 深度 4 | 5.00 秒
22. v3：Rxc2 | 深度 5 | 3.58 秒
22... v4：Qxc2 | 深度 4 | 5.00 秒
23. v3：Re1 | 深度 3 | 5.00 秒
23... v4：Reb8 | 深度 3 | 5.00 秒
