本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 1/20 盘：意大利式，白方 v4，黑方 v3 =====
25. v3：Re1 | 深度 3 | 5.00 秒
25... v4：h6 | 深度 3 | 5.00 秒
26. v3：g4 | 深度 4 | 5.00 秒
26... v4：Ne7 | 深度 4 | 5.00 秒
27. v3：Qc4 | 深度 3 | 5.00 秒
27... v4：Qc6 | 深度 4 | 5.00 秒
28. v3：Nd2 | 深度 4 | 5.00 秒
28... v4：Qxa4 | 深度 4 | 5.00 秒
29. v3：Qxc7 | 深度 4 | 5.00 秒
29... v4：Rc8 | 深度 4 | 5.00 秒
30. v3：Qd6 | 深度 4 | 5.00 秒
30... v4：Rc6 | 深度 4 | 5.00 秒
31. v3：b3 | 深度 4 | 5.00 秒
31... v4：Rxd6 | 深度 5 | 3.73 秒
32. v3：exd6 | 深度 5 | 2.64 秒
32... v4：Qa2 | 深度 5 | 1.76 秒
33. v3：Ne4 | 深度 5 | 4.67 秒
33... v4：f5 | 深度 5 | 2.32 秒
34. v3：Nc5 | 深度 5 | 3.40 秒
34... v4：Rh7 | 深度 5 | 2.13 秒
35. v3：gxf5 | 深度 4 | 5.00 秒
35... v4：gxf5 | 深度 5 | 1.70 秒
36. v3：Kg2 | 深度 4 | 5.00 秒
36... v4：Qd2 | 深度 5 | 4.51 秒
37. v3：Rxe7+ | 深度 4 | 5.00 秒
37... v4：Rxe7 | 深度 5 | 1.05 秒
38. v3：dxe7 | 深度 5 | 3.47 秒
38... v4：Qd5+ | 深度 5 | 2.71 秒
39. v3：f3 | 深度 5 | 1.15 秒
39... v4：Qxc5 | 深度 5 | 2.35 秒
40. v3：Ra1 | 深度 4 | 5.00 秒
40... v4：Kxe7 | 深度 5 | 4.43 秒
41. v3：Ra6 | 深度 4 | 5.00 秒
41... v4：Qe3 | 深度 5 | 4.58 秒
42. v3：Ra5 | 深度 4 | 5.00 秒
42... v4：Qxb3 | 深度 5 | 4.08 秒
43. v3：Rxa7 | 深度 4 | 5.00 秒
43... v4：Qg8+ | 深度 4 | 5.00 秒
44. v3：Kh3 | 深度 4 | 5.00 秒
44... v4：Qd5 | 深度 5 | 4.95 秒
45. v3：Kg2 | 深度 4 | 5.00 秒
45... v4：b3 | 深度 4 | 5.00 秒
46. v3：Ra1 | 深度 4 | 5.00 秒
46... v4：Qe5 | 深度 4 | 5.00 秒
47. v3：Rf1 | 深度 4 | 5.00 秒
47... v4：f4 | 深度 4 | 5.00 秒
48. v3：Kh1 | 深度 4 | 5.00 秒
48... v4：Qe3 | 深度 4 | 5.00 秒
49. v3：Kg2 | 深度 4 | 5.00 秒
49... v4：b2 | 深度 5 | 3.84 秒
50. v3：Kh3 | 深度 4 | 5.00 秒
50... v4：Qc1 | 深度 4 | 5.00 秒
51. v3：Rxc1 | 深度 5 | 0.60 秒
51... v4：bxc1=Q | 深度 5 | 1.16 秒
52. v3：Kg4 | 深度 5 | 1.54 秒
52... v4：Qe3 | 深度 5 | 3.34 秒
53. v3：h4 | 深度 5 | 1.21 秒
53... v4：Qe5 | 深度 5 | 2.93 秒
54. v3：Kh3 | 深度 5 | 1.02 秒
54... v4：Ke6 | 深度 5 | 3.71 秒
55. v3：Kg2 | 深度 5 | 1.76 秒
55... v4：Qe1 | 深度 5 | 3.51 秒
56. v3：h5 | 深度 5 | 0.99 秒
56... v4：d5 | 深度 5 | 2.89 秒
57. v3：Kh2 | 深度 5 | 0.62 秒
57... v4：d4 | 深度 5 | 2.46 秒
58. v3：Kg2 | 深度 5 | 0.71 秒
58... v4：d3 | 深度 5 | 2.12 秒
59. v3：Kh2 | 深度 5 | 0.77 秒
59... v4：d2 | 深度 5 | 2.24 秒
60. v3：Kg2 | 深度 5 | 0.73 秒
60... v4：Qg3+ | 深度 5 | 3.87 秒
61. v3：Kf1 | 深度 5 | 0.69 秒
61... v4：d1=Q# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_01.zip

===== 比赛结束 =====
v4获胜： 1
v3获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_01
