本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 9/20 盘：西西里式，白方 v4，黑方 v3 =====
80... v3：Rg2+ | 深度 5 | 1.83 秒
81. v4：Kh6 | 深度 5 | 1.01 秒
81... v3：Rh2+ | 深度 5 | 1.67 秒
82. v4：Kg6 | 深度 5 | 0.08 秒
82... v3：Rg2+ | 深度 5 | 0.49 秒
83. v4：Kf6 | 深度 5 | 0.24 秒
83... v3：Ke8 | 深度 5 | 1.37 秒
84. v4：Ke6 | 深度 5 | 2.16 秒
84... v3：Re2+ | 深度 5 | 0.77 秒
85. v4：Kd6 | 深度 5 | 0.66 秒
85... v3：Rd2+ | 深度 5 | 2.07 秒
86. v4：Ke6 | 深度 5 | 0.31 秒
86... v3：Re2+ | 深度 5 | 0.69 秒
87. v4：Kd6 | 深度 5 | 0.68 秒
87... v3：Rd2+ | 深度 5 | 2.60 秒
88. v4：Kc6 | 深度 5 | 0.78 秒
88... v3：Rc2+ | 深度 4 | 5.00 秒
89. v4：Kb7 | 深度 5 | 0.47 秒
89... v3：Rf2 | 深度 5 | 3.10 秒
90. v4：f6 | 深度 5 | 1.98 秒
90... v3：Rxf6 | 深度 5 | 3.47 秒
91. v4：Rc8+ | 深度 5 | 1.83 秒
91... v3：Kf7 | 深度 5 | 4.62 秒
92. v4：Rc7+ | 深度 5 | 2.88 秒
92... v3：Ke8 | 深度 5 | 4.92 秒
93. v4：Rc8+ | 深度 5 | 2.44 秒
93... v3：Kf7 | 深度 5 | 4.92 秒
94. v4：Rc2 | 深度 5 | 3.84 秒
94... v3：Rf3 | 深度 4 | 5.00 秒
95. v4：Rc7+ | 深度 5 | 3.10 秒
95... v3：Kg6 | 深度 4 | 5.00 秒
96. v4：Rc5 | 深度 5 | 3.56 秒
96... v3：Rf5 | 深度 4 | 5.00 秒
97. v4：Rc8 | 深度 5 | 2.21 秒
97... v3：Rb5+ | 深度 4 | 5.00 秒
98. v4：Ka6 | 深度 5 | 0.97 秒
98... v3：Rb2 | 深度 5 | 4.56 秒
99. v4：Rc5 | 深度 5 | 1.52 秒
99... v3：Kh6 | 深度 5 | 3.99 秒
100. v4：Ra5 | 深度 5 | 1.84 秒
100... v3：Rc2 | 深度 4 | 5.00 秒
101. v4：Rb5 | 深度 5 | 1.54 秒
101... v3：Rc6+ | 深度 5 | 4.91 秒
102. v4：Ka7 | 深度 5 | 1.04 秒
102... v3：Rc2 | 深度 4 | 5.00 秒
103. v4：Ka6 | 深度 5 | 3.70 秒
103... v3：Rc6+ | 深度 5 | 4.64 秒
104. v4：Kb7 | 深度 5 | 1.26 秒
104... v3：Rf6 | 深度 5 | 4.41 秒
105. v4：Rc5 | 深度 5 | 3.27 秒
105... v3：Rf2 | 深度 4 | 5.00 秒
106. v4：Kc8 | 深度 5 | 2.77 秒
106... v3：Rf8+ | 深度 4 | 5.00 秒
107. v4：Kb7 | 深度 5 | 0.81 秒
107... v3：Rf2 | 深度 4 | 5.00 秒
108. v4：Kb6 | 深度 5 | 3.74 秒
108... v3：Kg6 | 深度 4 | 5.00 秒
109. v4：Rb5 | 深度 5 | 4.35 秒
109... v3：Rd2 | 深度 4 | 5.00 秒
110. v4：Rc5 | 深度 5 | 4.61 秒
110... v3：Rf2 | 深度 4 | 5.00 秒
111. v4：Ra5 | 深度 5 | 3.73 秒
111... v3：Kf7 | 深度 4 | 5.00 秒
112. v4：Re5 | 深度 5 | 3.59 秒
112... v3：Kf6 | 深度 4 | 5.00 秒
113. v4：Rc5 | 深度 5 | 2.17 秒
v3 申请和棋：{'reason': 'threefold_repetition', 'intended_move': 'f6g6'}
本盘结果：1/2-1/2，原因：claimed_threefold_repetition

===== 第 10/20 盘：西西里式，白方 v3，黑方 v4 =====
4. v3：Qxd4 | 深度 4 | 5.00 秒
4... v4：Nf6 | 深度 4 | 5.00 秒
5. v3：Bd3 | 深度 3 | 5.00 秒
5... v4：Nc6 | 深度 3 | 5.00 秒
6. v3：Qc4 | 深度 3 | 5.00 秒
6... v4：Be6 | 深度 3 | 5.00 秒
7. v3：Qc3 | 深度 3 | 5.00 秒
7... v4：Rc8 | 深度 3 | 5.00 秒
8. v3：Qd2 | 深度 3 | 5.00 秒
8... v4：h6 | 深度 3 | 5.00 秒
9. v3：Na3 | 深度 3 | 5.00 秒
9... v4：d5 | 深度 3 | 5.00 秒
10. v3：e5 | 深度 4 | 5.00 秒
10... v4：Ne4 | 深度 4 | 5.00 秒
11. v3：Qe2 | 深度 4 | 5.00 秒
11... v4：Bf5 | 深度 4 | 5.00 秒
12. v3：Be3 | 深度 3 | 5.00 秒
12... v4：Qa5+ | 深度 4 | 5.00 秒
13. v3：Kf1 | 深度 4 | 5.00 秒
13... v4：Rh7 | 深度 3 | 5.00 秒
14. v3：Nh4 | 深度 3 | 5.00 秒
14... v4：e6 | 深度 4 | 5.00 秒
15. v3：f3 | 深度 4 | 5.00 秒
15... v4：Bxa3 | 深度 4 | 5.00 秒
16. v3：Nxf5 | 深度 4 | 5.00 秒
16... v4：exf5 | 深度 4 | 5.00 秒
17. v3：fxe4 | 深度 4 | 5.00 秒
17... v4：Bxb2 | 深度 4 | 5.00 秒
18. v3：exd5 | 深度 4 | 5.00 秒
18... v4：Bxa1 | 深度 4 | 5.00 秒
19. v3：Bxf5 | 深度 4 | 5.00 秒
19... v4：Ne7 | 深度 4 | 5.00 秒
20. v3：Bxh7 | 深度 4 | 5.00 秒
20... v4：Nxd5 | 深度 4 | 5.00 秒
21. v3：Bd2 | 深度 3 | 5.00 秒
21... v4：Qxa2 | 深度 4 | 5.00 秒
22. v3：Qb5+ | 深度 3 | 5.00 秒
22... v4：Kd8 | 深度 4 | 5.00 秒
23. v3：Qa5+ | 深度 3 | 5.00 秒
23... v4：Qxa5 | 深度 5 | 1.90 秒
24. v3：Bxa5+ | 深度 5 | 2.60 秒
24... v4：Ke7 | 深度 5 | 2.56 秒
25. v3：Ke1 | 深度 4 | 5.00 秒
25... v4：Bxe5 | 深度 4 | 5.00 秒
26. v3：Be4 | 深度 3 | 5.00 秒
26... v4：Ne3 | 深度 4 | 5.00 秒
27. v3：Bb4+ | 深度 4 | 5.00 秒
27... v4：Ke6 | 深度 4 | 5.00 秒
28. v3：Kd2 | 深度 4 | 5.00 秒
28... v4：Bd4 | 深度 4 | 5.00 秒
29. v3：Bd3 | 深度 3 | 5.00 秒
29... v4：Nxg2 | 深度 4 | 5.00 秒
30. v3：c3 | 深度 3 | 5.00 秒
30... v4：Bb6 | 深度 4 | 5.00 秒
31. v3：Bb1 | 深度 3 | 5.00 秒
31... v4：Rc4 | 深度 4 | 5.00 秒
32. v3：Ba2 | 深度 4 | 5.00 秒
32... v4：Kd5 | 深度 5 | 2.46 秒
33. v3：Bxc4+ | 深度 4 | 5.00 秒
33... v4：Kxc4 | 深度 5 | 0.77 秒
34. v3：Bf8 | 深度 4 | 5.00 秒
34... v4：Be3+ | 深度 5 | 2.50 秒
35. v3：Ke2 | 深度 5 | 3.47 秒
35... v4：g5 | 深度 5 | 4.41 秒
36. v3：Bxh6 | 深度 4 | 5.00 秒
36... v4：Kxc3 | 深度 5 | 4.85 秒
37. v3：h4 | 深度 4 | 5.00 秒
37... v4：Bd2 | 深度 5 | 3.85 秒
38. v3：hxg5 | 深度 4 | 5.00 秒
38... v4：Nf4+ | 深度 5 | 1.96 秒
39. v3：Kf3 | 深度 5 | 4.50 秒
39... v4：Ne6 | 深度 4 | 5.00 秒
40. v3：Kg4 | 深度 4 | 5.00 秒
40... v4：Kb2 | 深度 4 | 5.00 秒
41. v3：Rf1 | 深度 4 | 5.00 秒
41... v4：Nc5 | 深度 4 | 5.00 秒
42. v3：Rxf7 | 深度 4 | 5.00 秒
42... v4：Kc2 | 深度 4 | 5.00 秒
43. v3：Rc7 | 深度 4 | 5.00 秒
43... v4：Be3 | 深度 5 | 2.22 秒
44. v3：Kf5 | 深度 4 | 5.00 秒
44... v4：Kd2 | 深度 5 | 3.65 秒
45. v3：Bg7 | 深度 4 | 5.00 秒
45... v4：a5 | 深度 5 | 5.00 秒
46. v3：Rf7 | 深度 4 | 5.00 秒
46... v4：b5 | 深度 4 | 5.00 秒
47. v3：Bh8 | 深度 4 | 5.00 秒
47... v4：b4 | 深度 5 | 4.22 秒
48. v3：Bg7 | 深度 4 | 5.00 秒
48... v4：b3 | 深度 5 | 4.14 秒
49. v3：Bh8 | 深度 4 | 5.00 秒
49... v4：Kc2 | 深度 5 | 3.87 秒
50. v3：Re7 | 深度 4 | 5.00 秒
50... v4：b2 | 深度 5 | 2.79 秒
51. v3：Bxb2 | 深度 5 | 1.94 秒
51... v4：Bxg5 | 深度 5 | 1.44 秒
52. v3：Rc7 | 深度 5 | 2.40 秒
52... v4：Kxb2 | 深度 5 | 0.61 秒
53. v3：Rxc5 | 深度 5 | 1.79 秒
53... v4：Bd2 | 深度 5 | 0.89 秒
54. v3：Ke6 | 深度 4 | 5.00 秒
54... v4：a4 | 深度 5 | 1.73 秒
55. v3：Rc6 | 深度 4 | 5.00 秒
55... v4：a3 | 深度 5 | 1.97 秒
56. v3：Kf7 | 深度 4 | 5.00 秒
56... v4：Be3 | 深度 5 | 1.37 秒
57. v3：Rc7 | 深度 4 | 5.00 秒
57... v4：a2 | 深度 5 | 0.52 秒
58. v3：Rb7+ | 深度 5 | 1.93 秒
58... v4：Ka3 | 深度 5 | 0.40 秒
59. v3：Rb8 | 深度 5 | 2.44 秒
59... v4：a1=Q | 深度 5 | 0.30 秒
60. v3：Ra8+ | 深度 5 | 0.77 秒
60... v4：Kb2 | 深度 5 | 0.24 秒
61. v3：Rxa1 | 深度 5 | 0.54 秒
61... v4：Kxa1 | 深度 5 | 0.27 秒
本盘结果：1/2-1/2，原因：INSUFFICIENT_MATERIAL
结果压缩包： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_05.zip

===== 比赛结束 =====
v4获胜： 0
v3获胜： 0
和棋： 2
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_05
