本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 19/20 盘：苏格兰式，白方 v4，黑方 v3 =====
69. v4：g4 | 深度 5 | 2.70 秒
69... v3：Re2 | 深度 4 | 5.00 秒
70. v4：g5 | 深度 5 | 3.33 秒
70... v3：Kd5 | 深度 4 | 5.00 秒
71. v4：Kg6 | 深度 5 | 3.75 秒
71... v3：Rg2 | 深度 4 | 5.00 秒
72. v4：Rb5+ | 深度 4 | 5.00 秒
72... v3：Ke4 | 深度 4 | 5.00 秒
73. v4：Rb4+ | 深度 5 | 3.63 秒
73... v3：Kd3 | 深度 4 | 5.00 秒
74. v4：Rb7 | 深度 5 | 4.43 秒
74... v3：Rf2 | 深度 4 | 5.00 秒
75. v4：Ra7 | 深度 5 | 4.60 秒
75... v3：Ke4 | 深度 4 | 5.00 秒
76. v4：Re7+ | 深度 5 | 4.81 秒
76... v3：Kd3 | 深度 5 | 3.60 秒
77. v4：Rb7 | 深度 4 | 5.00 秒
77... v3：Ke3 | 深度 4 | 5.00 秒
78. v4：Rd7 | 深度 5 | 4.93 秒
78... v3：Rb2 | 深度 4 | 5.00 秒
79. v4：Rf7 | 深度 5 | 4.61 秒
79... v3：Rf2 | 深度 4 | 5.00 秒
80. v4：Ra7 | 深度 5 | 3.02 秒
80... v3：Rb2 | 深度 4 | 5.00 秒
81. v4：Kf7 | 深度 4 | 5.00 秒
81... v3：Kf3 | 深度 4 | 5.00 秒
82. v4：g6 | 深度 4 | 5.00 秒
82... v3：Kg2 | 深度 4 | 5.00 秒
83. v4：g7 | 深度 5 | 1.78 秒
83... v3：Rf2+ | 深度 5 | 3.33 秒
84. v4：Kg6 | 深度 5 | 1.03 秒
84... v3：Kh2 | 深度 4 | 5.00 秒
85. v4：Rc7 | 深度 5 | 1.07 秒
85... v3：Rg2+ | 深度 5 | 1.05 秒
86. v4：Kh7 | 深度 5 | 0.61 秒
86... v3：Rg3 | 深度 5 | 1.69 秒
87. v4：g8=Q | 深度 5 | 1.16 秒
87... v3：Rh3+ | 深度 5 | 1.56 秒
88. v4：Kg7 | 深度 5 | 0.21 秒
88... v3：Rg3+ | 深度 5 | 0.71 秒
89. v4：Kf7 | 深度 5 | 0.51 秒
89... v3：Rxg8 | 深度 5 | 0.76 秒
90. v4：Kxg8 | 深度 5 | 1.13 秒
90... v3：Kh3 | 深度 5 | 0.64 秒
91. v4：Rg7 | 深度 5 | 1.53 秒
